Date,Location ISO Code,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,Province,Country,Continent,Island,Time Zone,Special Status,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Total Deaths per 100rb,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths,Island_encoded,Cluster
4/14/2020,ID-PA,Papua,0,0,0,0,67,5,11,51,Province,Papua,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,28,1.0,560,110.0,5411.0,319036,4340348,13.6,138.69603,-4.66620953,0.0,15.44,0.0,1.15,0.12,7.46%,16.42%,0.0,1.0,1,1
4/14/2020,ID-PB,Papua Barat,0,0,0,0,2,1,1,0,Province,Papua Barat,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,12,1.0,218,95.0,1742.0,102955,1140701,11.08,132.9762624,-2.045160182,0.0,1.75,0.0,0.88,0.09,50.00%,50.00%,1.0,1.0,1,1
4/15/2020,ID-YO,Daerah Istimewa Yogyakarta,1,0,0,1,60,6,24,30,Province,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1.0,78,46.0,392.0,3133,3631015,1158.9,110.4448783,-7.89450185,0.28,16.52,0.0,1.65,0.17,10.00%,40.00%,0.2,1.0,0,1
4/15/2020,ID-PB,Papua Barat,0,0,0,0,2,1,1,0,Province,Papua Barat,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,12,1.0,218,95.0,1742.0,102955,1140701,11.08,132.9762624,-2.045160182,0.0,1.75,0.0,0.88,0.09,50.00%,50.00%,1.0,1.0,1,1
4/16/2020,ID-YO,Daerah Istimewa Yogyakarta,1,0,0,1,61,6,24,31,Province,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1.0,78,46.0,392.0,3133,3631015,1158.9,110.4448783,-7.89450185,0.28,16.8,0.0,1.65,0.17,9.84%,39.34%,1.0,1.0,0,1
4/17/2020,ID-PA,Papua,9,0,0,9,89,7,16,66,Province,Papua,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,28,1.0,560,110.0,5411.0,319036,4340348,13.6,138.69603,-4.66620953,2.07,20.51,0.0,1.61,0.16,7.87%,17.98%,1.5,0.0,1,1
4/17/2020,ID-PB,Papua Barat,0,0,0,0,5,1,1,3,Province,Papua Barat,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,12,1.0,218,95.0,1742.0,102955,1140701,11.08,132.9762624,-2.045160182,0.0,4.38,0.0,0.88,0.09,20.00%,20.00%,0.0,1.0,1,1
4/18/2020,ID-YO,Daerah Istimewa Yogyakarta,3,0,2,1,65,7,29,29,Province,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1.0,78,46.0,392.0,3133,3631015,1158.9,110.4448783,-7.89450185,0.83,17.9,0.0,1.93,0.19,10.77%,44.62%,3.0,0.0,0,1
4/18/2020,ID-PA,Papua,6,0,0,6,95,7,16,72,Province,Papua,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,28,1.0,560,110.0,5411.0,319036,4340348,13.6,138.69603,-4.66620953,1.38,21.89,0.0,1.61,0.16,7.37%,16.84%,0.67,1.0,1,1
4/18/2020,ID-PB,Papua Barat,0,0,0,0,5,1,1,3,Province,Papua Barat,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,12,1.0,218,95.0,1742.0,102955,1140701,11.08,132.9762624,-2.045160182,0.0,4.38,0.0,0.88,0.09,20.00%,20.00%,1.0,1.0,1,1
